gene,result,expression_change_percent,expression_change_log(FC),p_value,tissue,organism,sex,line,age,age_units,measurement_method,expression_evaluation_by,measurement_taken,duration,training_regimen,participants,experiment_groups_quantity,reference
PRKAA2,decrease,,-0.377103141646205,2.09894075278515e-08,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRKAB2,decrease,,-0.152305920191492,0.00445792441194221,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRKAG2,increase,,0.573071326202564,4.87813508671919e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRKAG3,decrease,,-0.552926395739817,2.56388168619076e-09,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRKAR1A,decrease,,-0.16066404715642,0.00175493004833457,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRKCD,increase,,0.36554086274233,0.00203326534726867,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRKCDBP,increase,,0.420649978746355,4.38351216275828e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRKCH,increase,,0.310807380300528,1.19043090680875e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRKD2,increase,,0.262634454712644,0.00408487805188908,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRKRIR,decrease,,-0.226681793522142,2.5921811695128e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRMT6,increase,,0.290287202628057,0.0131743564439228,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRMT7,decrease,,-0.151047686481854,0.00432262381752522,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PROCA1,increase,,0.497568917391635,0.00365819194279014,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PROCR,increase,,0.370611821481018,0.00216052943419215,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRODH,increase,,0.605713346333793,5.51155788334369e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PROS1,increase,,0.347477870256686,8.35708687159594e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PROX2,increase,,0.615139779998113,0.00133566732978968,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRPF3,decrease,,-0.188224798543821,0.00318943227066676,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRPF38B,decrease,,-0.25982193016976,0.000820388990439776,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRPF39,decrease,,-0.320192999034854,3.1814347687462e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRPF40A,decrease,,-0.332676442603321,5.30624027097612e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRPF4B,decrease,,-0.337335756045086,0.000318646638395616,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRPH2,decrease,,-0.306700983280849,0.000265304984234404,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRPS2,increase,,0.591055730627046,0.00018227067334962,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRR16,decrease,,-0.35566523241673,2.7575809029976e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRRG1,decrease,,-0.171790909934678,0.0100825997326671,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRRG3,increase,,0.345233689217946,0.000316528818759206,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRRT2,decrease,,-0.34209694078712,0.00227548604656086,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRSS42,decrease,,-0.480139770983259,0.000167398520672468,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRSS44,decrease,,-0.413553300564563,0.00636569362274868,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRSS45,decrease,,-0.473436002933307,0.00132493956652505,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRSS53,decrease,,-0.721446220502688,0.000179012348287141,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRSS56,decrease,,-0.447804867755296,0.000406638530894457,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PRUNE,decrease,,-0.17821772063731,0.00233106827879112,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSD3,increase,,0.39924168904297,0.00584299052380269,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSD4,increase,,0.526058597424619,0.0100957855848089,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSENEN,increase,,0.199552837250793,0.00946677269599971,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSIP1,decrease,,-0.223784243808361,0.00620382371496671,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSKH1,increase,,0.222485754068708,0.000781483437343865,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSMB3,increase,,0.135152249814808,0.0135259854348512,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSMB8,increase,,0.237834603833349,0.00796064283562468,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSMC1,decrease,,-0.1548676583706,0.00264596578323697,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSMD13,increase,,0.128086003133378,0.0136525631422254,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSMD4P1,decrease,,-0.611933545746379,0.000658455598654471,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSME2,increase,,0.211831352677866,0.000991908113700308,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSMF1,increase,,0.19040659325952,0.000785133101580853,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSMG1,decrease,,-0.241699478142085,0.00100749498673911,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSTK,decrease,,-0.31232305633981,0.00851665494178617,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PSTPIP2,decrease,,-0.377091681924348,2.55738611034579e-09,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTBP2,decrease,,-0.22746149132783,0.00136954250648583,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTCD2,increase,,0.32676703486853,5.34879398054338e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTCD3,increase,,0.236548320878582,2.66297952613582e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTCH2,increase,,0.342722289888383,0.0141380078565667,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTDSS1,increase,,0.194995410400936,0.00357162150556795,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTGDS,increase,,0.357862962479191,0.000371608635437685,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTGES2,increase,,0.285476283876235,2.29189562851519e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTGES3,decrease,,-0.144924191926386,0.0121717484955244,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTGFRN,increase,,0.268208633572901,0.00898584546938549,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTGR1,increase,,0.525632234111027,5.56565900771263e-13,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTMS,increase,,0.272368272930271,0.00124645174332265,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTN,increase,,0.642473122976733,0.00010984467272804,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTP4A1,decrease,,-0.194997171997119,0.00262883679264533,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTP4A2,decrease,,-0.212825277966613,9.35532057973965e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTPDC1,increase,,0.228735739890516,0.00296434319362289,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTPN11,decrease,,-0.287383325576881,1.08848046260083e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTPN21,decrease,,-0.196844582329982,0.000274561677816747,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTPN6,increase,,0.487418898436201,0.000446069484465944,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTPRB,increase,,0.298960740215617,2.83106475852513e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTPRE,increase,,0.37808045437427,0.00624662320355563,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTPRN2,increase,,0.42002343893768,0.000136286721609977,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTPRS,decrease,,-0.175056780404606,0.00253555290275891,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTPRU,increase,,0.24343324165995,0.000773873013292007,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTRF,increase,,0.169414359483822,0.00663245303281976,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PTTG1IP,increase,,0.324879685406542,2.50989225178961e-08,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PUM1,decrease,,-0.190601253538924,0.000337917182668468,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PUS3,decrease,,-0.219056210623868,0.00685055511799457,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PVR,decrease,,-0.191611388284448,0.000701575165449821,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PVRIG,decrease,,-0.499636288321138,0.00608019532650214,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PVRL2,increase,,0.398832457261827,1.29489524987873e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PWWP2A,decrease,,-0.285826404174866,0.00105743857447568,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PXDN,increase,,0.940850336670371,2.55059488969403e-26,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PXN,decrease,,-0.230762978198694,0.000179861325010992,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PYGO1,decrease,,-0.463109491481707,5.00766000172993e-09,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
PYROXD1,decrease,,-0.300883514121525,0.0116053678210588,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
QKI,decrease,,-0.178711544293684,0.00336232760458432,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
QPCT,increase,,0.536341217069447,0.00592793647834972,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
QPRT,increase,,0.430926487154647,0.000159243342529595,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
QRSL1,increase,,0.20751685978873,5.12195559298847e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
QSOX1,increase,,0.174340719602995,0.00780158941723259,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
R3HDM1,decrease,,-0.254590849878317,3.57648306757543e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB10,decrease,,-0.237722853616077,8.58107607609929e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB11B,increase,,0.218993662767277,0.000112493913246749,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB11FIP1,decrease,,-0.228109865730283,0.00269100022277424,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB12,decrease,,-0.319836042890424,2.44527201840298e-08,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB13,increase,,0.257909492835893,0.000104235313817374,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB20,increase,,0.490888287710218,0.0112585027597401,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB21,decrease,,-0.175765279100598,0.00181916878384158,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB23,decrease,,-0.241760201924142,0.0147213684660186,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB26,increase,,0.397759492464798,0.0101174125401842,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB2A,decrease,,-0.13612419143269,0.00841226264583525,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB31,increase,,0.279678716875063,0.00529725433167663,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB32,increase,,0.382986574150875,0.00631581416866292,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB34,increase,,0.315190325002488,0.00237656680464997,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB3D,increase,,0.226132741729528,0.012602264221218,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB3GAP1,decrease,,-0.12919065477218,0.0106868398438594,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB3IL1,increase,,0.360245537125749,0.00343939134216646,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB4B,increase,,0.276286539493553,0.000900919557972724,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB5C,increase,,0.170879902901216,0.00750816728462773,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAB6B,increase,,0.302447093566512,0.005204811075819,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RABEP1,decrease,,-0.288663245773721,9.17485944012666e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RABEP2,increase,,0.624816833961631,1.2749794629826e-15,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RABGAP1,decrease,,-0.189865243318991,0.000265167253032261,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RABIF,increase,,0.380606306628415,0.000246166573815754,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RABL2B,decrease,,-0.26902893663824,0.005860319434231,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAC1,decrease,,-0.139489229786509,0.0102369742028948,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAD1,decrease,,-0.187012342562434,0.000818837908238236,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAD52,decrease,,-0.359070337723894,3.07731609019751e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAF1,decrease,,-0.192208623244311,0.000581896084584582,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAI1,increase,,0.225461063026231,0.00234825595371857,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RALB,increase,,0.280321376118651,8.64342746375374e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RALBP1,decrease,,-0.145046756983775,0.00326815008085219,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RALY,increase,,0.164251600024843,0.00420844160057278,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAMP1,increase,,0.166944395195762,0.0124849890756599,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAMP2,increase,,0.475981923816476,1.94999392610864e-08,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RANBP9,decrease,,-0.231613288377761,3.67313009687209e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAP2B,increase,,0.401234600099502,4.47415369914821e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAP2C,decrease,,-0.254189492084396,0.000143026835891004,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAPGEF5,increase,,0.713359116635888,3.67889879739413e-14,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RAPGEFL1,decrease,,-0.368156911217587,9.2129270419216e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RASA4,decrease,,-0.3217764572279,1.05236231361582e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RASA4B,decrease,,-0.260484485706325,0.000129600410406565,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RASA4CP,decrease,,-0.300995673418321,0.00536996165378004,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RASAL3,increase,,0.712666127586744,1.14608542489343e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RASGRF2,increase,,0.458139891825306,8.57994812839569e-07,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RASIP1,increase,,0.370404574195576,6.78565208735777e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RASSF2,increase,,0.769226612134297,1.73313631538555e-08,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RASSF8,decrease,,-0.345325135432153,1.3094582864242e-05,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RB1CC1,decrease,,-0.457158731400325,0.000417994666251767,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RBBP6,decrease,,-0.357794728693836,0.000457536904172482,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RBFA,increase,,0.183898605597417,0.00631465882689493,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RBFOX1,decrease,,-0.31408088543753,3.86709709275297e-08,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RBFOX2,decrease,,-0.271454246604004,1.13326195541114e-06,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RBL2,decrease,,-0.170229630779,0.00446870803949869,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
RBM14,decrease,,-0.209931006410044,0.00155755026833863,muscle,human,both,n/a,27,years,RNAseq,mRNA,,8100 min,45 sessions x 45 min (4 per week),no,17,10.4161/15592294.2014.982445
